"Periodo","# Clicks","# Registros IN","# Primer depósito IN","Total depositado IN","# Personas que apostaron IN","Total apostado","Net revenue IN"
2022-12-04,5870,4,9,6658.58057951023,384,24657.3065456737,-1259.01957260057
2022-12-04,NA,0,0,0,1,6.7145897,6.7145897
2022-12-05,6511,8,20,5158.71172816029,498,28727.5738699219,2048.51321707268
2022-12-06,4758,5,8,2345.09243876608,392,19781.2331984643,3772.2505073
2022-12-07,2789,3,10,1529.17819864704,166,16173.0222430192,616.097778140475
2022-12-08,2744,20,11,2231.21572648466,152,13032.9330162542,1262.52844288315
2022-12-08,NA,0,0,0,1,7.00427437686869,-4.55201188646408
2022-12-09,6339,37,28,5070.70192558531,501,26925.4070647144,9987.82913322921
2022-12-09,NA,0,0,0,1,11.5776681308993,11.5776681308993
2022-12-10,3843,31,13,3234.57450724328,315,11037.8717964574,-1060.20293802566
2022-12-11,2193,17,2,1049.7738469793,139,8254.00116996933,409.617429118004
2022-12-12,2187,3,4,1109.63931596,124,4591.75876020346,771.709925283538
2022-12-13,3268,5,9,2140.71343620835,290,13146.3176331935,1393.33718139223
2022-12-14,3234,5,6,2370.97997565541,321,10494.4162526336,1967.1445659189
2022-12-15,2031,4,2,1324.44190969484,145,8226.04468075855,24.4195684758894
2022-12-16,2083,1,1,2916.32865283923,134,18008.5181495753,472.613220215722
2022-12-17,3016,11,6,2217.81373118337,229,10791.2320507918,1255.82748632892
2022-12-18,5775,25,14,2723.55741989,360,11888.65885224,-80.2815209702775
2022-12-19,2406,13,4,1117.58498121595,148,7181.11772513982,432.178949032717
2022-12-20,2575,11,6,1939.6084187325,164,10359.6391213941,278.855412578204
2022-12-21,3315,11,10,2260.13085536762,178,12367.7459159093,426.879511908502
2022-12-22,4045,51,25,2442.6317916975,197,11018.6616821676,227.882077984815
2022-12-23,4942,91,54,2135.68941716389,207,11600.9081316964,684.924974263607
2022-12-24,2740,13,12,1841.16915845296,161,8887.622782375,366.206509024872
2022-12-25,2592,13,8,987.222910179669,118,5809.00686820542,384.058459426631
2022-12-26,3598,10,11,2363.03648986453,188,9861.96985404276,125.1597286174
2022-12-27,3537,5,4,5524.56829046976,171,17793.8389533896,565.065656855311
2022-12-28,3743,2,4,1956.41315252817,197,14068.1449817086,-648.306501570099
2022-12-29,3806,9,5,3177.15889103936,184,13011.2877384963,1146.40225652253
2022-12-30,3975,22,16,2531.06265241513,208,23256.2169519809,-187.324311693902
2022-12-31,3136,12,4,1532.63987404201,185,16827.7248776496,55.4432279916335
2023-01-01,2757,21,13,2137.66064404538,145,13768.362096427,-2179.76291237941
2023-01-02,3319,3,1,2173.48706819226,165,14633.845964794,3491.79317034498
2023-01-03,3144,4,0,2079.6599303821,178,15248.7365543144,870.483037218882
2023-01-04,3612,5,5,2131.9871584948,191,13849.2810563555,1336.14282242378
2023-01-05,3072,4,6,1596.98284281921,178,8728.53094207622,301.045725264657
2023-01-06,3088,1,2,1270.29855027169,184,8657.84101421045,62.4871921389272
2023-01-06,NA,0,0,0,1,7.11097283787855,7.11097283787855
2023-01-07,3443,3,4,1833.86772039254,202,13085.3596959337,2170.125290845
2023-01-08,2843,1,4,1098.78360433539,177,8873.83485124201,-217.19828079246
2023-01-09,2493,2,3,878.453789602734,176,5986.63357736737,242.473343750156
2023-01-09,NA,0,0,5.7423411,1,6.91760679503906,1.75612268820802
2023-01-10,2698,3,2,1203.82375819482,172,6600.99450689962,879.175545453523
2023-01-10,NA,0,0,0,1,20.9252258850483,0.528284885937079
2023-01-11,3029,1,3,1392.48898967047,171,8200.36252115534,755.023514430478
2023-01-11,NA,0,0,0,1,18.3397858013659,-4.33666912580515
2023-01-12,2355,0,0,2119.44040841859,153,9341.41824082808,-646.235123416181
2023-01-12,NA,0,0,0,1,28.2220292149806,-3.12063115
2023-01-13,3699,12,8,2367.63186487871,182,8657.73992004764,595.233462997365
2023-01-13,NA,0,0,0,1,34.0623325,-3.63591075233898
2023-01-14,2870,18,11,1962.85237735291,189,8985.88004454466,65.0201452491686
2023-01-14,NA,0,0,0,1,27.4905456,4.40437818807192
2023-01-15,3335,40,22,1989.57092363168,217,12698.7322062946,-13.6710344114531
2023-01-15,NA,0,0,0,1,11.784393,8.44548165
2023-01-16,2366,6,7,1615.10994425483,175,9767.68478376412,-57.6007940963401
2023-01-16,NA,0,0,0,1,8.2490751,1.9640655
2023-01-17,2396,1,2,883.063331375136,179,8594.42363118359,166.707824325988
2023-01-17,NA,0,0,5.8663872,1,3.9109248,0.136882366044537
2023-01-18,2559,2,3,3068.84354802152,185,15241.9177143816,1036.63777976284
2023-01-18,NA,0,0,0,1,17.7884019326784,3.26661884566049
2023-01-19,2305,2,3,1868.1673516275,182,14322.5321836699,2246.11377873722
2023-01-19,NA,0,0,0,1,2.42172509394133,2.42172509394133
2023-01-20,2256,1,2,1316.11172713152,173,15117.8272177045,761.232456899413
2023-01-21,2733,1,4,1804.49572604875,189,11676.8005511149,594.365394265137
2023-01-22,2722,0,2,1393.29082405938,195,17195.2452664592,54.8740293323198
2023-01-23,2393,0,1,897.1084611,176,8434.29112048181,-29.1442851037226
2023-01-24,2263,1,4,1878.32075633077,170,11927.097060199,1866.30671101062
2023-01-25,2532,0,1,1246.98260622062,177,8673.67174452586,218.853003246544
2023-01-26,2056,0,1,1624.02676783312,172,8895.86855998301,95.0961668984272
2023-01-27,1944,2,2,2460.43866935179,172,8357.98178427742,1178.66139482349
2023-01-28,2640,2,1,1620.1461515775,217,12283.8194911698,152.407142749463
2023-01-29,2000,4,0,2040.07481936,175,8221.49866876398,1692.7296268066
2023-01-30,1590,0,1,1261.0778890883,124,3961.43920578763,300.632057211571
2023-01-30,1,NA,NA,NA,NA,NA,NA
2023-01-31,1888,0,2,993.284426273246,161,5165.32958751813,158.78819766934
2023-02-01,739,2,1,3841.31919258406,167,10149.5640898671,105.377864508153
2023-02-02,389,1,2,1637.85969481591,164,10357.5014304987,-1350.87368402298
2023-02-03,275,0,1,3409.72161379031,158,16908.5860341248,2856.62756258566
2023-02-04,283,1,4,3907.1398247882,179,16798.3137905497,2102.13933456296
2023-02-05,635,0,0,2172.3030138,160,12726.3123977495,323.158176101902
2023-02-06,520,2,0,2264.51970440039,149,13451.4163999128,192.548776766258
2023-02-07,1598,0,1,2880.8458920739,179,14160.8970453732,439.21653868444
2023-02-07,NA,0,0,5.7764292,1,7.7019056,-3.57753513579618
2023-02-08,3704,0,2,3251.98025738785,183,10710.3484945887,943.602152668398
2023-02-08,NA,0,0,0,1,16.76336097,5.58778699
2023-02-09,2469,0,0,1785.35565779484,154,10823.6183918959,-417.935454222119
2023-02-09,NA,0,0,0,1,10.71776496,-1.02392931186113
2023-02-10,6387,0,0,2041.76559567647,171,14476.9851568789,1257.74930460875
2023-02-10,NA,0,0,0,1,10.08509546,3.18236125344462
2023-02-11,4180,1,3,3220.26747268366,200,24429.6001599406,111.004839059939
2023-02-11,NA,0,0,0,1,1.5242508,-1.18891558017778
2023-02-12,2122,4,5,2366.83433647273,188,18956.5828750126,9.40823766957188
2023-02-13,2131,5,2,1494.29335778851,159,21944.2551743492,-487.143692480137
2023-02-14,1898,5,3,2976.99641785281,188,18473.2495458666,3940.45519488514
2023-02-15,2222,3,3,2549.3635798283,176,19489.8651994435,-379.25557051027
2023-02-15,NA,0,0,38.782614,2,32.5677002538739,-5.26280060151302
2023-02-16,2263,3,3,2749.32601071688,202,15136.6143742173,378.016527535797
2023-02-16,NA,0,0,0,1,11.0897392,2.06965124899988
2023-02-17,1849,0,0,2272.73908444348,189,15053.4020400371,814.540559874857
2023-02-17,NA,0,0,0,2,37.1136037620539,-16.9791436708033
2023-02-18,2767,0,4,3466.02878183592,195,22606.78777608,2676.02665110253
2023-02-18,NA,0,0,0,2,8.914201875,8.914201875
2023-02-19,1530,0,0,3661.90366453945,160,13200.7120192795,448.071127841404
2023-02-19,NA,0,0,0,1,7.755124,-5.58368913265264
2023-02-20,694,0,0,1441.62718873514,164,15186.16333833,-531.305040978521
2023-02-21,674,0,3,4144.06082554977,170,25683.5623987112,1313.98611219966
2023-02-22,1166,13,7,7463.97510264062,206,50941.5450967479,1828.61215097108
2023-02-22,NA,0,0,0,1,22.1038824674753,-23.06508935
2023-02-23,1112,4,5,6228.12764204996,201,79726.7045408741,3202.85395878765
2023-02-24,839,1,0,5531.90882046072,167,74686.1428465996,3287.31597084119
2023-02-25,1140,1,1,2242.48692365076,198,49888.5993132473,-556.788020542159
2023-02-25,NA,0,0,0,1,87.9912734973161,2.11258949
2023-02-26,1144,1,1,9858.61566558308,169,72409.9535170792,7568.2768269914
2023-02-26,NA,0,0,0,1,67.318622256131,31.4871854947365
2023-02-27,958,1,2,5022.6334990775,160,40066.2686617602,3239.33901947152
2023-02-28,1126,2,4,1796.26006524531,176,12846.72873741,-15.9771491055117
2023-02-28,NA,0,0,0,1,24.370002909312,11.277167309312
2023-03-01,1020,0,1,2362.99157105665,196,21373.9275125032,2221.31210013955
2023-03-02,1042,1,4,1942.14778394,200,9477.80441643361,1362.23239683425
2023-03-03,1,NA,NA,NA,NA,NA,NA
2023-03-03,816,1,1,2538.20940435834,181,16900.2334567893,1168.15475982122
2023-03-04,935,0,3,4973.14333986131,202,20718.3585851057,585.802303418783
2023-03-05,1293,1,3,2515.32529291941,217,11816.5290080331,1636.62764996144
2023-03-06,10,NA,NA,NA,NA,NA,NA
2023-03-06,857,0,0,1935.10025211808,181,12001.2006025363,-184.099420076358
2023-03-06,NA,0,0,0,1,32.32858104,24.6270466379974
2023-03-07,975,0,2,5455.72714838323,186,52529.7650478326,-1115.49048449057
2023-03-07,NA,0,0,0,1,40.6227276,-5.54016616040064
2023-03-08,1079,1,1,1707.04253532176,198,114508.393711203,-6187.55789690527
2023-03-09,917,0,1,2126.5371117,212,34173.4943857351,91.8865883028078
2023-03-10,718,0,2,2139.53449275429,178,170388.058485458,-3106.69186454843
2023-03-10,NA,0,0,0,1,17.2251292062606,17.2251292062606
2023-03-11,1044,0,0,3342.09360104153,180,179398.352323896,-5301.21058199027
2023-03-12,963,1,1,5518.67772052644,190,289945.271311868,25210.3466637304
2023-03-13,824,0,1,6666.22102641601,176,87746.8566284378,-7948.67795820312
2023-03-14,898,0,1,3925.31909765,194,116583.648405932,-1800.50654649646
2023-03-15,985,0,0,1803.91207148181,191,91707.6778232436,-19141.06275105
2023-03-16,1000,0,1,2275.11184749673,197,132898.53253022,-448.953617148611
2023-03-17,756,0,0,3874.86262750945,164,31154.5650379928,1009.97409259525
2023-03-18,946,0,1,6287.2969003955,193,121894.494108501,-776.209241417136
2023-03-19,1024,0,1,2221.18457141601,201,44728.5615363269,-4138.24062079968
2023-03-20,774,1,1,5942.08676202503,170,132686.719101993,9640.50063855785
2023-03-21,714,0,1,2611.72628551884,156,14394.9442449815,1763.61326636509
2023-03-21,1,NA,NA,NA,NA,NA,NA
2023-03-21,3,NA,NA,NA,NA,NA,NA
2023-03-21,2,NA,NA,NA,NA,NA,NA
2023-03-22,743,0,0,4529.44851782712,146,35221.6417618295,-1757.74205093087
2023-03-22,5,NA,NA,NA,NA,NA,NA
2023-03-23,785,1,0,8295.01514715234,174,134379.053787125,-1206.38651936581
2023-03-24,757,0,0,7113.5002254246,162,58363.672782185,4396.75467267622
2023-03-25,961,0,2,8084.14280698882,176,87171.1910516571,5812.93613313327
2023-03-26,734,5,5,10890.0473102514,179,155684.880999802,6792.8203967307
2023-03-27,734,1,0,7482.21610426226,153,79674.1111697365,6363.26441542804
2023-03-28,783,0,0,4076.73275456,153,128150.138484662,-10628.4755491325
2023-03-29,688,0,0,1960.23762275756,144,95901.3974580285,-2081.25666347334
2023-03-30,633,0,0,5296.472151025,158,48136.8376647643,-3343.54453872011
2023-03-31,648,0,0,8860.75748325304,140,162727.339231769,-811.202861712767
2023-04-01,1095,0,1,5651.45364625532,171,45886.8613126117,-8859.73086134445
2023-04-02,425,0,0,3174.52176365358,183,13132.7741960175,1772.87964920582
2023-04-03,375,0,1,8264.78597257824,159,27091.0832241398,6875.98821838523
2023-04-04,1419,2,1,4828.34683603507,160,14527.6251057995,1049.03535156068
2023-04-05,956,0,1,8126.38465105886,182,38274.9591427393,-2159.96174421762
2023-04-06,745,2,3,10411.8667757179,192,57009.990488003,7403.89821345234
2023-04-07,504,0,3,9500.97547974617,184,88033.0459260503,-4247.76206748565
2023-04-08,12,0,0,2289.63807225858,187,16559.3603250171,-330.828282212433
2023-04-09,6,0,3,3817.33563956054,213,34094.5258993515,342.681607919722
2023-04-10,7,0,0,2468.30828249585,188,10224.6570566299,1204.93630088304
2023-04-11,5,0,0,2012.68712501905,172,10039.2390143465,-311.955661868499
2023-04-12,8,1,0,3245.22846878378,179,27841.5061201209,-5550.17439375117
2023-04-13,6,0,1,4433.21537809281,180,24310.9620162511,1062.90697430734
2023-04-14,3,0,0,11111.1017087271,160,77561.2846792539,-3722.18754465137
2023-04-15,9,1,1,12632.4638174657,203,65211.8319951663,9215.27643354093
2023-04-16,7,1,1,6508.60165437285,200,36186.839398581,-6719.24493238613
2023-04-17,9,0,1,1493.01078750892,161,6778.81691705008,823.434514441705
2023-04-18,5,2,2,2865.34961029839,174,13942.5797200973,1173.56534200718
2023-04-19,5,0,2,2938.06133798635,194,9993.04501493248,79.4220465425514
2023-04-20,7,0,0,8253.98984116812,196,68747.8505047956,-6799.37060197359
2023-04-20,5,NA,NA,NA,NA,NA,NA
2023-04-21,6,0,0,8712.19048518,165,192614.077724755,-1693.88727984073
2023-04-21,3,NA,NA,NA,NA,NA,NA
2023-04-22,4,1,2,10146.9403423202,178,171341.736975564,17562.6563361419
2023-04-23,2,1,1,8085.54727509808,186,25907.2050340539,7085.85817093886
2023-04-24,5,0,2,8410.46468398148,147,107495.738513025,6234.71459463362
2023-04-25,7,1,0,8676.85451173515,160,66432.0809837568,6098.49648058437
2023-04-26,4,0,2,2412.73814145172,185,10649.7722786059,-225.659294861131
2023-04-27,3,2,1,2097.27859159224,175,20584.6033375853,30.340307157907
2023-04-28,1,0,0,2437.35689075479,171,9911.0329110022,1175.54250614832
2023-04-29,3,1,2,3295.95705426369,204,12306.1562341426,293.623327292112
2023-04-30,9,0,1,4249.47400753518,207,14290.1530532855,76.0187878229345
2023-05-01,9,0,1,2140.037026875,184,9914.1195069795,-185.36786166375
2023-05-02,3,0,0,7192.244829715,196,103829.134209509,4836.0049810989
2023-05-03,4,0,0,11180.3740320942,198,43707.5559498857,7005.60527765401
2023-05-04,2,0,0,5400.9011340252,200,30108.2840691717,790.370844880911
2023-05-05,1,1,0,9571.6075876776,180,66755.4210708855,5140.16177435199
2023-05-06,NA,5,3,7630.6803494608,189,142841.117139497,-1593.75997000211
2023-05-07,NA,3,3,6657.716984086,212,48697.14704581,3985.27852439537
2023-05-08,NA,3,2,3355.8387610235,170,11183.3569614277,1488.69733679611
2023-05-09,4,1,3,2617.8997184956,194,12915.1226239521,1781.16886906789
2023-05-09,12,NA,NA,NA,NA,NA,NA
2023-05-10,5,0,2,4531.7446270128,185,17184.8746674898,1275.99178523313
2023-05-10,3,NA,NA,NA,NA,NA,NA
2023-05-11,3,0,4,5695.793257576,231,36345.2883925332,-2015.12062790602
2023-05-11,16,NA,NA,NA,NA,NA,NA
2023-05-12,3,0,0,6271.8031864708,207,177076.011226475,-18013.6873984975
2023-05-12,1,NA,NA,NA,NA,NA,NA
2023-05-13,5,0,1,9777.5871736112,222,99147.9572243851,-1514.37385545334
2023-05-14,6,1,1,5211.80505663,220,202823.614023527,10761.6394953296
2023-05-15,4,0,1,7747.182397504,159,32468.12785089,3405.88133101304
2023-05-15,2,NA,NA,NA,NA,NA,NA
2023-05-15,NA,0,0,20.30729,1,84.15340976,0.01760642043
2023-05-16,5,0,1,3763.8529453266,160,83665.5700666606,-8464.35557887958
2023-05-16,NA,0,0,0,1,15.27734475,6.620182725
2023-05-17,5,0,2,8739.8435506788,207,172613.173736777,8693.22629645784
2023-05-17,NA,0,0,0,1,5.089131,5.089131
2023-05-18,4,0,3,7548.5042450492,200,50384.6039626354,6520.06161282631
2023-05-18,3,NA,NA,NA,NA,NA,NA
2023-05-19,2,0,0,7437.1343833034,139,45939.9246438057,1060.07467891612
2023-05-20,6,0,1,6706.8961977216,197,33719.4263211212,4525.45301720592
2023-05-20,NA,0,0,0,1,17.087271263,2.001233966842
2023-05-21,4,1,1,6297.913476524,185,46065.4892081903,4107.75124720124
2023-05-21,NA,0,0,0,1,36.990446336,-20.91912136
2023-05-22,4,1,0,2714.084003684,145,11148.0418025783,617.64373787344
2023-05-22,NA,0,0,0,1,57.099601716,12.32646226684
2023-05-23,7,0,1,7565.7629296256,156,42105.6261792166,-1828.52199599661
2023-05-24,8,0,0,7912.41670791,177,45594.9333192493,583.68805633389
2023-05-24,NA,0,0,0,1,15.1179195,15.1179195
2023-05-25,3,0,0,7604.401605738,187,190944.533733929,6582.64944910768
2023-05-25,4,NA,NA,NA,NA,NA,NA
2023-05-26,3,0,0,5975.86907925,134,19683.1163756817,3371.5512986103
2023-05-27,7,0,0,4946.6972756916,174,17303.3058049948,2491.9136424404
2023-05-27,NA,0,0,34.958469,1,47.89310253,34.962743921352
2023-05-28,5,0,0,2032.8412675208,174,15481.4342007615,-946.892267720344
2023-05-28,1,NA,NA,NA,NA,NA,NA
2023-05-29,1,0,0,1765.9666283292,127,11025.1106739305,-413.748556057408
2023-05-29,1,NA,NA,NA,NA,NA,NA
2023-05-30,6,0,0,1862.96722308,114,12052.3478609635,607.744141913112
2023-05-30,7,0,0,NA,NA,NA,NA
2023-05-31,3,0,3,3324.8170170504,141,17201.8453617538,-144.231342167098
2023-06-01,10,0,3,8749.9873477632,194,31499.3800946948,2757.90053524878
2023-06-02,4,0,1,3837.047816742,179,23324.2676426778,5549.0601433386
2023-06-03,5,0,1,3596.4562076163,186,18959.524751069,1371.27845401932
2023-06-04,8,0,1,2348.9822158634,158,17172.2434006535,-41.45430073083
2023-06-05,2,0,1,1549.348613657,158,12069.3902114214,1298.21754910083
2023-06-05,1,0,0,NA,NA,NA,NA
2023-06-06,2,0,1,2657.4673568,183,16262.1652357092,513.91223748086
2023-06-07,5,0,5,2469.6199305162,193,12652.2192961242,-1560.34143912339
2023-06-08,6,0,0,3657.2835668688,194,16884.2751523504,537.730723518406
2023-06-08,3,0,0,NA,NA,NA,NA
2023-06-09,5,0,1,2774.8238752256,152,14492.2457324213,314.94609198602
2023-06-10,8,0,0,6307.7273189902,218,23550.234874886,-385.111904471212
2023-06-11,5,0,0,2223.59801173,163,9824.41065459704,-190.525901211559
2023-06-12,2,0,0,4190.5300429505,122,31680.9459377429,1866.70692290735
2023-06-13,1,0,0,4813.4748542804,115,35293.8464404565,2675.57790371654
2023-06-13,1,0,0,NA,NA,NA,NA
2023-06-14,4,0,0,3233.006529324,121,20631.2209191274,945.08053583026
2023-06-14,1,0,0,NA,NA,NA,NA
2023-06-15,5,0,0,1981.7525373426,129,7510.76479805751,-128.362415533506
2023-06-16,8,0,0,3330.1801668352,137,31628.9394267729,1616.77098356374
2023-06-16,1,0,0,NA,NA,NA,NA
2023-06-17,7,0,0,3056.133941848,150,22266.9037011184,-1951.8527370442
2023-06-18,6,0,0,3599.7560508,128,22458.310813795,-692.566721966
2023-06-19,2,2,0,3586.2415161969,148,21298.5459734801,96.57668324529
2023-06-20,10,0,1,3765.4293924446,137,24579.4168192078,1543.34143628643
2023-06-21,4,0,0,3579.65984688,140,18284.7258634548,-201.654700240608
2023-06-21,1,0,0,NA,NA,NA,NA
2023-06-22,5,0,0,4511.7001099788,179,19016.5865965261,3548.31007867459
2023-06-22,1,0,0,NA,NA,NA,NA
2023-06-23,4,5,2,2506.917746707,143,20725.0878134281,-2154.04514964911
2023-06-24,2,27,11,10632.4235907455,151,76584.1462034473,4755.08241878017
2023-06-25,1,30,20,2288.0755468116,191,10542.6541931681,-696.645998549865
2023-06-26,NA,24,7,1843.592556897,136,8302.0858044882,948.52641621465
2023-06-26,3,0,0,NA,NA,NA,NA
2023-06-27,NA,50,21,3333.375865468,186,12299.21629604,1045.30535419904
2023-06-28,NA,15,7,2851.0691782497,187,11774.8744187712,1554.89118465533
2023-06-28,1,0,0,NA,NA,NA,NA
2023-06-29,NA,52,26,2895.6720707264,212,15950.4683471638,421.270746931328
2023-06-30,NA,34,16,2555.895790955,217,16764.9781405936,947.94240583075
2023-07-01,NA,4,4,3734.223415437,226,16391.6176029353,1278.13546081892
2023-07-02,NA,2,5,5117.0589977616,243,38679.9974445745,1634.3233933072
2023-07-03,NA,3,4,3414.60458685,198,21259.6245216052,-718.713426902967
2023-07-04,5,3,2,5216.494011644,185,46297.6528934965,-689.45618898258
2023-07-05,5,16,6,4115.650830292,203,20685.7481363754,211.419774274096
2023-07-06,2,72,21,6529.277221165,265,26540.1620922935,2603.9418262
2023-07-07,3,44,20,11632.703716745,182,60899.2578256039,4110.82973444994
2023-07-08,1,21,16,8543.7573222657,267,80203.0879415535,1116.70857653579
2023-07-09,NA,176,75,7925.3059283865,348,39045.9244092849,2588.74721337159
2023-07-10,5,89,38,6161.280910896,210,35280.8573010454,2881.30364842004
2023-07-11,NA,138,75,4412.9265451854,279,16392.1964716111,982.44093062423
2023-07-12,NA,325,159,4964.6384920122,353,21239.6327153895,-2613.3302722128
2023-07-12,1,0,0,NA,NA,NA,NA
2023-07-13,7,470,180,6248.4491958988,588,36239.5842331319,2126.51374662949
2023-07-14,NA,381,161,8041.9266289989,602,39272.6991597144,271.985898575371
2023-07-14,2,0,0,NA,NA,NA,NA
2023-07-15,NA,333,183,9313.673633066,681,39869.7194502554,4470.03643650564
2023-07-15,NA,0,0,62.44458,1,22.4800488,-61.957512276
2023-07-16,NA,475,241,8883.1462197492,950,34096.8826987224,1690.60359610661
2023-07-17,NA,199,99,5324.4335469717,536,23153.2716125941,-16.641691859835
2023-07-17,1,0,0,NA,NA,NA,NA
2023-07-17,NA,0,0,0,1,33.80951826,12.33776105541
2023-07-18,NA,356,171,5600.499845424,779,29608.9433026111,2075.52954405907
2023-07-18,NA,0,0,0,1,18.6076512,5.9420432832
2023-07-19,NA,568,244,8006.5903092216,935,44333.874757951,-383.083483350972
2023-07-19,NA,0,0,0,1,21.24557388,1.56217455
2023-07-20,NA,415,209,7115.2886266506,923,40273.6836726863,670.774280082754
2023-07-20,NA,0,0,0,1,37.5777396,-0.145759876604
2023-07-21,NA,327,182,13348.315372398,848,145176.633743159,5098.30584079996
2023-07-21,NA,0,0,0,1,36.23120568,-5.385081580776
2023-07-22,NA,400,232,9975.9740461796,1273,72712.3288113142,6048.35790015974
2023-07-22,NA,0,0,0,1,76.65226572,-1.602388388662
2023-07-23,NA,608,284,11066.0953737774,1308,53596.7712767026,2977.87224901274
2023-07-23,NA,0,0,0,1,41.41011996,2.76569407248
2023-07-24,NA,496,215,10198.7332227526,1112,65015.3880946254,3151.70519823178
2023-07-24,NA,0,0,0,1,25.0970424,-0.41870232404
2023-07-25,1,156,115,9923.6463742152,1073,54718.6198866583,2824.2843504305
2023-07-25,NA,0,0,0,1,6.3437553,-3.7364718717
2023-07-26,NA,36,62,11249.4342302142,1191,62649.6670209187,335.545892766876
2023-07-26,NA,0,0,0,1,8.86029228,-2.088497466
2023-07-27,NA,131,68,8192.7705986516,1232,58539.5660671922,1988.27027967729
2023-07-28,NA,132,76,9048.5335518636,960,69047.5100809318,-398.074119498372
2023-07-28,NA,0,0,0,1,1.27023912,-0.8447090148
2023-07-29,NA,168,127,14646.4929500656,1380,88398.911092773,7886.94568256784
2023-07-29,NA,0,0,0,1,53.36371404,7.09737396732
2023-07-30,NA,231,107,12258.2304942944,1427,105226.814539148,-6970.26288553301
2023-07-30,NA,0,0,0,1,7.60969044,-2.13261574581
2023-07-31,NA,0,34,0,873,72664.071770219,0
2023-08-01,NA,39,52,11691.3214514488,1014,67030.7156898588,4577.61351939391
2023-08-02,NA,38,39,11916.0780373616,1365,75335.5291526817,2886.30886178849
2023-08-03,NA,25,37,13555.7656711584,1257,75073.1771132764,2877.88246818871
2023-08-04,NA,20,25,7797.6492947894,1156,68799.6751349184,3182.41141294802
2023-08-05,NA,14,37,13458.0781144653,1196,79888.8269652937,7363.93344109776
2023-08-05,NA,0,0,0,1,2.46993372,0.19944714789
2023-08-06,NA,38,35,14517.3091743,1344,73688.0696047816,8857.60031509056
2023-08-06,NA,0,0,0,1,1.2328227,0.5855907825
2023-08-07,NA,24,16,6784.9280817435,1020,49755.088627218,4268.47199689822
2023-08-08,NA,19,14,11861.2972647352,870,55808.4975020578,763.920798209364
2023-08-09,NA,22,21,11883.3470964438,1138,90024.2536545822,6467.54444131866
2023-08-10,NA,49,27,15531.312647835,1090,86045.5870419533,-2216.91069607908
2023-08-11,NA,38,16,16573.0514924085,1089,82000.4833768364,2115.95162318276
2023-08-11,NA,0,0,0,1,14.23669617,0.91733842278
2023-08-12,NA,40,14,23800.7899510483,901,108765.872793675,1654.13945336268
2023-08-12,NA,0,0,0,1,34.41818856,0.77072157954
2023-08-13,NA,75,30,9936.7302845525,1149,55966.7495083168,3057.1659559682
2023-08-13,NA,0,0,0,1,7.34629428,-3.21033060036
2023-08-14,NA,41,18,10323.3698337835,724,70042.894047339,7758.67006116937
2023-08-14,1,0,0,NA,NA,NA,NA
2023-08-14,NA,0,0,0,1,3.67314714,-2.184808325245
